date,stock_tag,positive_news_count
2025-10-20,,27
2025-10-20,000088.SZ,1
2025-10-20,002397.SZ,1
2025-10-20,002575.SZ,1
2025-10-20,002695.SZ,1
2025-10-20,002716.SZ,1
2025-10-20,002873.SZ,1
2025-10-20,300476.SZ,1
2025-10-20,300903.SZ,1
2025-10-20,301026.SZ,1
2025-10-20,301522.SZ,1
2025-10-20,600027.SH,1
2025-10-20,600078.SH,1
2025-10-20,600150.SH,1
2025-10-20,600938.SH,1
2025-10-20,601933.SH,1
2025-10-20,603227.SH,1
2025-10-20,603538.SH,1
2025-10-20,603969.SH,1
2025-10-20,"688001.SH,300024.SZ",1
2025-10-20,688112.SH,1
