date,industry_tag,positive_news_count
2025-10-20,专用机械,1
2025-10-20,互联网,2
2025-10-20,"供气供热,中成药,电器仪表,化工原料,医疗保健,半导体",1
2025-10-20,"元器件,互联网",1
2025-10-20,其他,7
2025-10-20,"出版业,软件服务,化学制药,水务,专用机械",1
2025-10-20,"出版业,软件服务,食品,港口,银行,IT设备,铝,元器件,化工原料,环境保护,小金属,互联网,煤炭开采,半导体",1
2025-10-20,"出版业,银行,电器仪表,半导体,运输设备",1
2025-10-20,"化学制药,港口,银行,铝,元器件,小金属",1
2025-10-20,"化学制药,饲料,半导体,专用机械",1
2025-10-20,化工原料,1
2025-10-20,"化工原料,医药商业,银行",1
2025-10-20,"园区开发,电器仪表,环境保护,电气设备,专用机械",1
2025-10-20,小金属,1
2025-10-20,"小金属,专用机械",1
2025-10-20,机床制造,1
2025-10-20,"染料涂料,工程机械,银行,超市连锁",1
2025-10-20,"水泥,纺织,农药化肥,专用机械",1
2025-10-20,"汽车配件,软件服务,矿物制品,半导体",1
2025-10-20,港口,1
2025-10-20,玻璃,1
2025-10-20,电器仪表,1
2025-10-20,"电气设备,其他建材,银行,汽车配件",1
2025-10-20,"电气设备,化工原料",1
2025-10-20,"电气设备,文教休闲,百货,食品",1
2025-10-20,"电气设备,汽车配件",1
2025-10-20,"石油加工,软件服务,铝,通信设备",1
2025-10-20,"船舶,专用机械",1
2025-10-20,"证券,专用机械",1
2025-10-20,"证券,石油开采,元器件,专用机械",1
2025-10-20,"软件服务,互联网",1
2025-10-20,"软件服务,元器件",1
2025-10-20,"软件服务,农药化肥,铜,小金属",1
2025-10-20,"软件服务,化学制药,通信设备,银行,互联网",1
2025-10-20,"软件服务,园区开发",1
2025-10-20,"软件服务,建筑工程,火力发电,玻璃,互联网",1
2025-10-20,"软件服务,机械基件,小金属,半导体",1
2025-10-20,"软件服务,石油加工,全国地产,纺织机械,中成药,银行,环境保护,玻璃,广告包装,互联网,专用机械",1
2025-10-20,"软件服务,通信设备,银行,专用机械",1
2025-10-20,食品,1
